key,name,picture,averageDwellTime,promotionCode,money
service-01,Heathrow Heathrow AirportHeathrowwHeathrow Airport,https://media.istockphoto.com/id/1254973568/photo/empty-airport-terminal-lounge-with-airplane-on-background.jpg?s=612x612&w=0&k=20&c=WoX_hcz_igZ1NNRlwwR9Cc_EjjL4Ncf_hoTMDatg2AU=,30,WIFI-23,50.00
service-02,L,https://example.com/lounge.jpg,60,LOUN-45,25.00
service-03,<script>alert('Hacked!');</script>,https://example.com/hacked.jpg,10,,100.00
service-04,餐饮服务 (Catering Service),https://example.com/catering.jpg,45,CATE-12,
service-05,<marquee>Hacked Service</marquee>,https://example.com/marquee.jpg,90,MARQ-34,0.00
service-06,خدمة التوصيل (Delivery Service),https://example.com/delivery.jpg,30,DELI-56,
service-07,<b>Bold Service</b>,https://example.com/bold.jpg,60,BOLD-78,100.00
service-08,บริการสปา (Spa Service),https://example.com/spa.jpg,100,SPAS-90,50.00
service-09,'' or 'A' = 'A ,ftp://aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,XXSS-11,100.00
service-10,<script>alert(‘Hacked!’);</script>,ftp://a,0,LUGG-22,0.00
